age,gender,height_cm,weight_kg,discipline,session_type,duration_minutes,intensity,distance_m,effort_count,target_calories
26,Male,159.1,93.0,Shot Put,Training,53,Low,2674,16,2671
36,Female,194.5,45.9,Discus,Competition,89,Low,11065,4,2097
26,Female,167.0,61.1,200m Sprint,Recovery,36,Low,6436,1,1978
24,Male,160.8,58.9,Shot Put,Recovery,39,Medium,3120,19,2483
37,Female,195.0,62.6,Triple Jump,Recovery,78,High,9282,2,3113
40,Male,198.0,61.1,High Jump,Competition,88,Low,11026,9,2672
20,Female,193.8,49.1,400m Sprint,Competition,121,Medium,12416,13,2933
31,Male,191.4,74.8,200m Sprint,Training,139,High,2076,18,4941
33,Male,184.5,92.6,High Jump,Training,76,Medium,13856,16,3578
32,Female,179.8,84.4,1500m Run,Recovery,102,Low,3190,16,2790
20,Female,158.9,88.7,Long Jump,Recovery,148,Medium,4787,10,3762
38,Male,173.4,50.3,800m Run,Competition,32,Medium,6056,9,2387
33,Female,171.8,106.8,200m Sprint,Competition,25,Medium,12420,11,3306
24,Female,166.7,99.5,Shot Put,Training,116,Medium,7494,4,4078
38,Female,187.6,97.3,400m Sprint,Training,113,High,9400,10,4881
22,Male,177.3,98.5,Hammer,Training,129,Low,3577,3,3459
35,Male,158.6,105.6,High Jump,Competition,70,High,4741,6,4349
38,Male,164.9,80.4,Triple Jump,Recovery,70,Medium,6832,3,2933
20,Male,185.7,58.0,200m Sprint,Training,106,Medium,2581,9,3291
35,Male,158.4,85.1,Long Jump,Training,87,Low,13900,3,2607
39,Male,193.3,93.3,Javelin,Competition,103,Low,3787,18,3364
21,Male,177.3,93.0,Triple Jump,Training,61,High,8707,8,4215
38,Male,176.6,78.9,High Jump,Recovery,76,High,14333,8,3694
15,Male,181.7,49.4,Javelin,Competition,81,Low,14151,15,2381
32,Female,192.1,69.1,400m Sprint,Training,26,High,7103,13,3069
38,Male,170.7,104.8,100m Sprint,Training,131,Medium,10404,7,4627
39,Female,185.5,83.0,Long Jump,Competition,45,Medium,11166,19,3008
34,Female,180.5,80.0,Triple Jump,Competition,38,Low,932,8,2462
26,Female,167.0,62.5,Long Jump,Training,28,High,1663,10,2539
30,Male,194.5,68.9,1500m Run,Recovery,80,Medium,8748,17,3142
24,Male,190.9,103.2,Javelin,Competition,39,Low,7914,1,3371
24,Male,184.6,88.3,Hammer,Recovery,125,High,9863,13,4516
28,Male,193.3,96.2,Triple Jump,Training,69,Medium,9184,13,3653
39,Female,194.0,74.5,200m Sprint,Recovery,100,High,9820,16,3504
34,Male,186.9,86.0,Hammer,Training,29,High,9883,9,3559
24,Male,192.7,61.1,100m Sprint,Training,84,High,4852,10,3729
24,Male,186.4,90.9,100m Sprint,Training,27,Low,1104,6,2788
40,Male,185.6,72.8,800m Run,Training,41,Medium,1270,5,3132
39,Male,182.8,73.8,Long Jump,Recovery,37,Low,11094,2,2420
25,Female,188.9,87.2,Shot Put,Training,28,Medium,14828,11,3054
37,Male,162.1,105.9,100m Sprint,Training,73,Medium,12936,9,3863
16,Female,194.6,49.2,Hammer,Recovery,45,Low,9601,6,2093
39,Male,194.2,98.6,100m Sprint,Competition,113,Low,3646,8,3458
34,Female,156.3,64.0,1500m Run,Recovery,119,Medium,5087,9,2721
22,Male,192.2,73.9,Discus,Recovery,45,Medium,9522,9,2875
37,Male,160.8,46.4,1500m Run,Recovery,53,Medium,4723,8,2271
21,Female,170.1,64.6,1500m Run,Training,27,High,14960,12,2793
22,Female,188.5,77.7,Discus,Training,67,Medium,14878,8,3185
15,Female,162.2,48.7,Long Jump,Training,126,Low,2054,3,2108
35,Male,191.8,76.9,Triple Jump,Competition,73,Low,14237,13,2737
16,Female,192.4,105.3,400m Sprint,Training,138,Low,9145,19,3784
32,Male,177.8,51.9,Shot Put,Competition,100,Medium,6658,2,2925
29,Male,155.3,94.7,100m Sprint,Training,115,Medium,1842,17,3968
15,Female,167.9,71.6,800m Run,Recovery,121,High,2802,16,3795
19,Female,182.8,87.6,Shot Put,Training,81,High,7735,4,4082
16,Male,199.2,61.9,Triple Jump,Competition,65,Low,14408,18,2762
34,Male,183.4,55.4,Discus,Competition,106,High,8201,14,3472
17,Female,166.7,55.4,Shot Put,Training,118,High,13884,2,3380
33,Female,183.5,49.6,100m Sprint,Recovery,58,Low,10801,13,1972
32,Female,179.3,57.1,Shot Put,Training,72,Medium,8313,20,2595
36,Male,190.1,88.2,400m Sprint,Training,99,High,12974,17,4669
32,Male,159.8,102.3,Javelin,Training,35,Medium,6105,15,3344
28,Male,189.2,97.9,Hammer,Recovery,123,Low,2560,20,3256
38,Male,179.4,89.5,Discus,Competition,89,Low,3037,5,2934
22,Male,198.3,52.2,Shot Put,Recovery,127,High,8632,7,3751
26,Male,170.4,63.8,100m Sprint,Competition,66,Low,2749,18,2302
35,Female,183.5,65.1,100m Sprint,Competition,28,Low,590,11,2336
24,Male,196.9,61.2,Shot Put,Competition,53,Low,1368,18,2632
37,Male,159.6,78.5,Javelin,Recovery,105,High,10181,5,3606
34,Male,197.2,79.8,Long Jump,Training,134,High,1361,13,4869
31,Female,186.0,68.2,800m Run,Training,83,High,8128,18,3656
25,Male,158.1,68.0,High Jump,Training,53,Low,3773,2,2322
16,Male,168.5,98.9,1500m Run,Training,31,Medium,13495,20,3615
40,Female,186.9,96.3,Discus,Training,116,Low,14402,4,3203
40,Male,158.0,65.0,High Jump,Recovery,140,High,2064,13,3799
18,Male,181.2,104.4,Triple Jump,Recovery,106,Medium,13694,16,3963
15,Male,170.6,106.9,Triple Jump,Recovery,121,Medium,2415,6,4247
29,Male,182.9,66.2,100m Sprint,Recovery,115,High,2951,8,3665
27,Male,157.1,68.0,Triple Jump,Recovery,133,Medium,13627,16,2986
22,Female,194.2,77.9,Long Jump,Recovery,66,Medium,5616,13,3044
39,Female,198.8,106.2,800m Run,Recovery,77,High,7975,4,4343
18,Female,198.6,102.0,Hammer,Training,140,Medium,10960,2,4582
24,Male,188.7,51.7,Triple Jump,Competition,137,Medium,11608,9,3258
33,Male,160.9,70.5,400m Sprint,Recovery,24,High,7101,18,2956
32,Male,189.1,81.0,800m Run,Competition,115,Medium,9768,17,4081
19,Female,156.1,77.7,Long Jump,Recovery,40,Medium,5003,8,2691
33,Male,156.0,57.6,Javelin,Recovery,147,Medium,14808,15,2855
40,Male,169.6,100.8,High Jump,Training,143,Medium,8306,9,4260
37,Female,177.0,89.0,800m Run,Competition,40,High,6243,17,3484
36,Male,189.7,99.5,800m Run,Training,73,Low,6581,2,3234
30,Female,185.7,100.8,High Jump,Training,123,Low,9560,6,3342
15,Female,175.1,93.6,Long Jump,Competition,130,Medium,14684,5,4322
26,Female,167.3,73.5,Javelin,Training,135,High,8330,17,4009
38,Male,199.9,84.7,Triple Jump,Recovery,76,High,4923,2,4091
16,Male,174.2,55.4,100m Sprint,Recovery,147,Medium,6467,18,3036
35,Male,175.3,88.8,Discus,Recovery,139,Low,4941,10,2977
39,Male,162.4,56.7,Javelin,Recovery,89,Medium,11565,10,2388
22,Male,190.8,90.1,High Jump,Recovery,114,High,6437,6,4646
32,Male,186.2,59.9,Hammer,Training,118,High,6076,12,3870
39,Male,164.9,52.6,High Jump,Training,61,Low,5648,17,1990
30,Female,158.7,55.7,Javelin,Recovery,89,High,8001,13,2675
19,Male,185.6,45.1,High Jump,Recovery,21,High,1315,20,2722
40,Female,184.5,91.7,High Jump,Training,128,High,73,16,4947
36,Male,167.3,92.6,Discus,Competition,84,Low,12038,10,2876
27,Male,197.8,78.5,Discus,Training,89,High,8675,2,4369
33,Male,161.8,55.5,Triple Jump,Training,88,Medium,12303,2,2785
17,Female,174.5,50.4,Shot Put,Training,140,Low,1549,7,2241
40,Female,197.5,46.2,Shot Put,Training,128,Medium,1359,6,2680
22,Female,173.9,55.8,200m Sprint,Training,79,Medium,1896,1,2729
40,Female,183.7,102.9,High Jump,Competition,112,Low,6659,12,3150
40,Male,172.9,60.7,High Jump,Recovery,31,Medium,5246,13,2430
26,Female,167.3,68.0,800m Run,Recovery,122,Low,6967,12,2401
16,Male,199.3,51.8,Shot Put,Competition,131,Medium,6661,19,3565
25,Male,173.4,59.5,Triple Jump,Recovery,84,Low,12416,9,2340
26,Female,195.2,78.7,Hammer,Recovery,67,High,510,10,3492
32,Female,165.3,84.5,100m Sprint,Recovery,107,High,8614,17,3993
27,Female,164.6,60.9,200m Sprint,Competition,81,Medium,2432,18,2767
19,Female,156.4,48.8,200m Sprint,Competition,63,High,1906,8,2824
36,Female,184.3,70.4,Hammer,Recovery,74,Low,12519,7,2380
26,Female,171.6,60.2,Hammer,Recovery,127,Medium,9150,9,2701
16,Female,193.9,59.3,Javelin,Recovery,66,High,9016,10,3087
19,Female,176.3,107.4,Triple Jump,Training,21,High,64,12,3560
21,Male,198.6,85.1,100m Sprint,Training,132,Medium,4928,15,4226
40,Female,163.3,81.2,800m Run,Training,30,High,4710,15,2975
40,Female,194.1,72.0,Discus,Competition,131,High,11540,4,4260
38,Male,189.9,72.9,Hammer,Recovery,109,Medium,6124,4,3347
26,Female,189.7,80.2,1500m Run,Competition,74,High,7837,1,4000
30,Male,193.0,90.3,Shot Put,Competition,36,High,800,12,4120
37,Male,189.2,90.6,High Jump,Competition,87,High,6063,2,4406
22,Female,183.2,56.2,Triple Jump,Recovery,71,High,8469,15,2797
23,Male,160.9,77.5,Javelin,Training,116,Medium,6109,17,3395
29,Male,156.5,71.8,Shot Put,Recovery,67,Low,9909,7,2345
19,Male,196.4,101.6,High Jump,Recovery,48,Low,10605,6,3076
27,Male,182.7,86.0,1500m Run,Competition,46,High,6659,12,4114
19,Female,190.8,79.6,1500m Run,Competition,123,High,1238,19,4677
25,Male,176.7,52.5,Discus,Competition,79,Low,6582,1,2270
24,Female,160.3,84.4,Javelin,Training,125,High,4523,14,4327
34,Male,160.6,52.6,Long Jump,Training,88,Low,14731,4,2168
27,Male,185.9,66.9,1500m Run,Training,133,Medium,5620,5,3761
23,Male,174.4,54.3,Hammer,Recovery,40,Medium,1486,1,2519
35,Male,164.0,90.0,Javelin,Competition,121,Medium,4681,1,3940
28,Female,177.1,58.4,Shot Put,Recovery,150,Medium,11490,6,2685
32,Female,157.9,70.5,400m Sprint,Training,114,Medium,4470,5,3049
29,Male,181.2,103.2,400m Sprint,Competition,124,Medium,5619,2,4630
24,Male,167.1,58.3,High Jump,Training,144,Low,11187,5,2735
38,Female,190.9,78.0,High Jump,Competition,21,High,8284,9,3187
21,Male,169.0,72.3,Long Jump,Competition,85,Low,11723,19,2661
22,Male,175.5,46.2,400m Sprint,Recovery,132,Medium,13888,15,2770
17,Male,155.5,96.5,High Jump,Recovery,61,High,14656,13,3847
29,Female,158.3,49.5,1500m Run,Training,39,High,7177,12,2507
30,Female,172.7,75.8,High Jump,Recovery,116,Medium,13201,5,3095
18,Female,176.6,81.4,200m Sprint,Recovery,87,Medium,5441,2,3162
35,Male,182.0,85.8,Long Jump,Recovery,94,Medium,1840,4,3480
20,Male,168.1,89.8,Triple Jump,Competition,144,Medium,11719,18,4165
15,Female,186.3,61.5,100m Sprint,Recovery,66,Medium,5397,10,2741
18,Female,193.7,45.6,800m Run,Training,24,Medium,1621,13,2247
25,Female,190.1,92.0,Javelin,Competition,68,High,1561,12,3890
26,Female,156.8,79.8,100m Sprint,Competition,143,Medium,5849,2,3994
40,Male,176.6,99.3,100m Sprint,Recovery,56,Medium,1416,15,3432
19,Female,159.7,98.4,Discus,Competition,38,High,11156,14,3478
37,Male,165.9,99.8,Hammer,Training,59,Low,4190,10,2737
35,Female,199.4,76.5,Javelin,Training,36,Medium,14067,8,2851
30,Male,161.4,66.7,Triple Jump,Competition,118,High,5054,15,3922
27,Female,177.4,96.5,High Jump,Recovery,112,High,1130,13,4381
27,Female,182.8,74.3,Hammer,Recovery,61,Low,9605,8,2310
31,Female,186.6,56.9,Discus,Competition,142,Medium,14071,14,3032
21,Female,180.2,100.6,100m Sprint,Training,126,Medium,3597,1,4250
22,Male,155.4,102.4,Javelin,Competition,91,Medium,11936,13,3921
27,Female,169.7,75.3,200m Sprint,Recovery,84,High,2118,8,3205
37,Male,178.3,49.9,800m Run,Recovery,128,Medium,663,18,2714
30,Male,159.0,70.2,100m Sprint,Competition,72,Medium,13256,9,3110
18,Male,170.8,97.2,400m Sprint,Training,43,Medium,2634,13,3388
22,Male,156.5,103.6,Triple Jump,Competition,47,Medium,2774,3,3627
30,Female,158.5,58.2,Triple Jump,Training,81,Low,14703,18,2070
35,Male,172.9,49.4,Triple Jump,Training,36,Low,6194,10,2097
24,Male,161.0,102.0,Long Jump,Competition,39,Low,3969,5,2890
39,Male,180.5,70.3,Long Jump,Competition,22,Medium,13454,6,2715
26,Female,186.0,80.2,1500m Run,Training,70,Medium,3490,8,3280
26,Female,191.0,107.9,Shot Put,Training,22,High,9763,7,3904
40,Female,164.0,49.3,800m Run,Training,92,High,1523,18,2853
19,Female,162.5,87.1,Discus,Training,124,High,8053,14,4126
30,Male,159.7,49.8,Hammer,Recovery,137,Medium,987,15,2533
15,Male,183.6,69.4,Hammer,Competition,53,Low,11430,10,2581
23,Female,186.8,97.2,Hammer,Training,81,Low,7915,12,3074
26,Male,156.4,73.2,High Jump,Competition,139,Low,6403,7,2792
19,Male,197.1,109.8,100m Sprint,Training,134,Medium,5321,7,5157
36,Male,157.3,81.3,Shot Put,Competition,32,Low,3845,11,2514
34,Female,179.4,65.9,High Jump,Competition,88,High,13496,13,3573
36,Female,186.9,59.3,Discus,Training,96,High,6301,15,3391
38,Male,194.2,67.8,Hammer,Training,20,Low,11885,18,2371
17,Female,187.1,69.2,Shot Put,Competition,108,High,98,7,3623
19,Female,191.1,49.5,High Jump,Competition,66,Low,2288,6,2161
16,Female,170.3,69.0,200m Sprint,Competition,23,Low,9706,11,2102
28,Female,191.7,75.2,Long Jump,Recovery,29,High,4297,8,2910
16,Female,158.6,92.0,Discus,Training,47,High,8825,20,3612
27,Male,195.3,87.7,Hammer,Recovery,140,High,7796,1,4573
21,Female,179.6,91.1,Javelin,Recovery,145,High,7263,8,4345
24,Male,191.8,45.5,800m Run,Training,81,Low,13033,8,2336
27,Male,175.4,59.1,400m Sprint,Training,86,High,12777,19,3708
30,Female,184.0,88.0,200m Sprint,Recovery,93,High,8770,3,3969
40,Male,178.7,76.5,Long Jump,Training,114,Medium,3959,5,3631
28,Male,187.9,45.3,Triple Jump,Competition,55,High,7385,3,2957
25,Male,158.7,97.3,Long Jump,Competition,131,High,14862,15,5035
24,Female,157.7,95.2,Shot Put,Recovery,150,Low,8464,14,2782
20,Female,166.1,80.6,1500m Run,Recovery,132,Low,5338,15,2708
18,Male,162.2,49.3,200m Sprint,Training,129,Medium,4881,17,2955
35,Female,194.2,94.8,Triple Jump,Training,133,High,3954,18,5123
15,Female,164.9,82.9,Shot Put,Recovery,86,High,3927,2,3616
21,Female,198.9,95.8,Discus,Recovery,145,High,8644,12,4944
38,Female,170.2,93.9,800m Run,Competition,105,High,9367,16,4549
23,Male,163.2,97.2,Long Jump,Competition,38,High,14682,4,4067
22,Male,190.5,78.7,Javelin,Training,88,High,4911,2,4454
19,Female,184.6,54.1,Discus,Competition,29,Medium,413,14,2364
33,Female,177.4,88.6,Triple Jump,Training,147,High,1550,11,4717
24,Male,180.0,85.3,Shot Put,Training,118,High,4526,13,4391
25,Male,187.4,93.2,Hammer,Training,51,High,14714,7,4115
39,Female,165.3,56.0,1500m Run,Competition,131,Medium,7141,10,2898
29,Male,199.8,57.7,Hammer,Recovery,43,High,13182,1,3116
20,Female,198.9,102.9,Long Jump,Recovery,54,Medium,6571,4,3585
29,Female,184.3,93.7,Javelin,Competition,102,Low,1946,18,2920
19,Male,164.0,104.0,800m Run,Recovery,89,High,5203,6,4696
33,Male,185.6,94.3,1500m Run,Training,128,Medium,191,2,4349
36,Female,158.2,83.8,High Jump,Recovery,118,Low,40,3,2509
33,Female,156.4,87.5,Shot Put,Competition,52,Medium,14175,14,2880
24,Male,166.6,102.8,Discus,Recovery,75,Medium,10051,8,3391
26,Female,175.8,82.6,Javelin,Training,31,Low,5892,16,2451
36,Male,194.1,86.1,Long Jump,Training,30,High,9524,19,3577
18,Female,187.7,55.2,Long Jump,Competition,89,High,3449,18,3374
32,Male,188.4,75.8,Triple Jump,Competition,60,Medium,8327,6,3146
30,Male,174.1,91.6,Javelin,Competition,125,Low,5909,14,3223
22,Male,170.6,62.6,800m Run,Training,22,High,12393,3,3000
18,Female,171.7,58.1,400m Sprint,Recovery,22,Medium,12806,16,2213
39,Female,199.4,65.4,High Jump,Recovery,103,Low,1941,1,2352
37,Male,156.8,60.7,1500m Run,Competition,126,Medium,9757,12,3174
26,Female,194.0,59.0,200m Sprint,Recovery,39,Low,4221,14,2182
16,Male,181.0,72.6,200m Sprint,Recovery,115,High,7524,19,4161
18,Male,174.7,104.0,Javelin,Competition,143,High,6543,19,5784
19,Female,187.6,78.0,Long Jump,Competition,40,Medium,6222,9,3047
17,Female,176.9,57.2,Triple Jump,Training,133,High,8580,7,3549
23,Male,194.3,50.0,100m Sprint,Training,32,High,1558,14,3089
35,Female,195.5,90.3,Javelin,Training,105,Low,14012,5,2915
32,Female,174.0,69.9,Long Jump,Training,54,High,2121,18,3037
25,Male,167.5,98.4,Hammer,Recovery,66,Low,1028,9,2967
17,Male,181.7,87.9,200m Sprint,Recovery,144,Low,14230,7,3242
39,Female,196.1,96.8,200m Sprint,Training,129,Medium,11726,9,4154
37,Male,164.5,62.7,High Jump,Training,56,Low,8273,4,2355
16,Male,183.0,90.0,Discus,Competition,40,High,5656,17,3953
23,Female,183.4,62.2,100m Sprint,Recovery,33,Low,8967,12,2185
28,Male,188.0,106.0,Long Jump,Recovery,110,Low,3038,6,3181
18,Male,160.9,86.4,High Jump,Training,79,Medium,12565,18,3622
23,Female,187.2,66.1,Triple Jump,Recovery,143,High,11079,8,4043
27,Female,195.9,62.5,High Jump,Competition,42,High,1878,15,3229
32,Male,163.1,57.4,Long Jump,Competition,130,High,2271,3,3867
29,Male,165.7,90.2,Shot Put,Recovery,143,Low,1607,2,2983
24,Female,198.7,59.2,400m Sprint,Training,49,High,3139,9,3186
30,Female,163.1,83.7,Javelin,Recovery,134,High,605,8,3914
26,Female,193.4,62.2,Long Jump,Competition,109,Low,14354,4,2511
34,Female,177.2,88.0,800m Run,Training,57,Medium,4735,2,3141
19,Male,166.1,98.0,200m Sprint,Recovery,102,Medium,11606,14,3747
16,Female,194.2,95.6,100m Sprint,Training,46,Low,3665,2,2910
24,Female,175.0,94.5,Hammer,Training,123,Medium,14077,2,3975
15,Male,178.2,57.2,Hammer,Competition,135,Medium,5852,7,3169
21,Female,171.2,50.7,100m Sprint,Training,34,Medium,5462,12,2297
40,Male,181.7,90.4,Javelin,Recovery,22,High,2144,6,3233
31,Female,162.4,68.9,Discus,Training,29,Medium,4270,18,2353
30,Female,172.6,73.1,400m Sprint,Training,139,High,11957,4,4297
38,Female,198.6,47.0,800m Run,Recovery,147,Medium,8107,19,2760
17,Male,166.6,61.9,200m Sprint,Competition,30,High,1376,13,3050
28,Male,184.6,47.2,Hammer,Competition,88,Low,3462,20,2236
24,Female,169.6,102.1,Javelin,Recovery,83,Low,347,2,2851
36,Male,189.8,60.8,Javelin,Recovery,33,Medium,0,8,2832
21,Male,160.9,81.2,Javelin,Competition,69,High,62,19,3834
40,Male,198.6,47.5,100m Sprint,Training,91,Low,1783,9,2317
